code;flash;date
ABX091498DV/ABX;86;12/05/2016
ABX091498FF/ABX;103;30/03/2016
ABX091498FG/ABX;96;30/03/2016
ABX091498FK/ABX;97;11/05/2016
ABX091498FM/ABX;89;03/06/2016
ABX091498FN/ABX;93;20/05/2016
ABX091498FV/ABX;104;08/06/2016
ABX091498FW/ABX;104;09/06/2016
ABX091498GA/ABX;87;04/08/2016
ABX091498GY/ABX;87;29/09/2016
ABX091498HB/ABX;96;07/10/2016
ABX091498HL/ABX;99;17/10/2016
ABX091498HM/ABX;100;19/10/2016
ABX091498HN/ABX;100;21/10/2016
ABX091498HO/ABX;101;24/10/2016
ABX091498HP/ABX;103;25/10/2016
ABX091498HT/ABX;104;08/11/2016
ABX091498IA/ABX;92;08/01/2017
ABX091498IC/ABX;69;24/01/2017
ABX091498IE/ABX;70;23/01/2017
ABX091498IF/ABX;77;10/02/2017
ABX091498IG/ABX;80;16/02/2017
ABX091498IH/ABX;80;17/02/2017
ABX091498IV/ABX;89;13/04/2017
ABX091498JA/ABX;95;09/05/2017
ABX091498JN/ABX;93;31/05/2017
ABX104402AN/ABX;66;25/01/2017
ABX104402AO/ABX;71;26/01/2017
ABX104402AP/ABX;76;21/02/2017
ABX104402T/ABX;83;07/07/2016
ABX104602U/ABX;77;10/10/2017
ABX104620D/ABX;62;05/10/2017
ABX104650AD/ABX;56;21/03/2017
ABX104650AE/ABX;60;21/03/2017
ABX104650AF/ABX;60;23/03/2017
ABX109762Y/ABX;103;08/07/2016
ABX110043C/ABX;85;19/08/2016
ABX110090L/ABX;86;21/02/2017
ABX110127BQ/NLE;106;29/06/2017
ABX110586I/ABX;92;24/04/2017
ABX110708U/ABX;86;06/02/2017
ABX110718I/ABX;101;10/10/2017
ABX111677BJ/ABX;97;30/03/2016
ABX111677BL/ABX;91;12/05/2016
ABX111677BN/ABX;97;11/05/2016
ABX111677BO/ABX;93;07/06/2016
ABX111677BP/ABX;101;09/06/2016
ABX111677BQ/ABX;101;17/10/2016
ABX111677BR/ABX;101;19/10/2016
ABX111677BS/ABX;100;21/10/2016
ABX111677BT/ABX;100;24/10/2016
ABX111677BU/ABX;107;26/10/2016
ABX111677CF/ABX;92;05/05/2017
ABX111677CS/ABX;95;31/05/2017
ABX157374DS/DGI;78;31/01/2017
ABX157374DW/DGI;76;11/04/2017
ABX157459AN/NLE;85;05/09/2017
ABX162375AW/ABX;95;30/03/2016
ABX162375AY/ABX;86;12/05/2016
ABX162375BI/ABX;90;17/10/2016
ABX162375BJ/ABX;88;21/10/2016
ABX162375BK/ABX;96;24/10/2016
ABX162375BU/ABX;85;17/05/2017
ABX162375CB/ABX;84;29/06/2017
ABX162375CC/ABX;98;29/06/2017
ABX162375CG/ABX;96;29/06/2017
ABX162375CR/ABX;90;20/07/2017
ABX163129AV/ABX;100;06/06/2017
ABX163227B/ABX;73;24/01/2017
ABX163227BA/ABX;74;02/05/2016
ABX163227BB/ABX;75;03/05/2016
ABX163227BK/ABX;86;23/01/2017
ABX163227BL/ABX;77;10/02/2017
ABX163227BM/ABX;77;14/02/2017
ABX163227BN/ABX;68;17/02/2017
ABX163227BP/ABX;72;20/02/2017
ABX163227CD/ABX;79;05/09/2017
ABX163229AA/ABX;84;28/07/2016
ABX163229AB/ABX;84;01/08/2016
ABX163229AC/ABX;86;17/11/2016
ABX163229AJ/ABX;86;28/11/2016
ABX163229AK/ABX;80;28/11/2016
ABX163229AO/ABX;85;08/12/2016
ABX163229AR/ABX;84;13/04/2017
ABX163229AT/ABX;84;08/12/2016
ABX163229AV/ABX;86;08/12/2016
ABX163229AW/ABX;86;08/12/2016
ABX163229BM/ABX;85;31/05/2017
ABX163229Y/ABX;85;28/07/2016
ABX163229Z/ABX;84;28/07/2016
ABX163230BX/ABX;75;23/01/2017
ABX163230CB/ABX;87;06/02/2017
ABX163230CE/ABX;80;17/02/2017
ABX163230CG/ABX;79;20/02/2017
ABX163230CI/ABX;80;21/02/2017
ABX163230CK/ABX;89;21/02/2017
ABX163230CL/ABX;91;21/02/2017
ABX163230CN/ABX;90;22/02/2017
ABX163230CO/ABX;99;31/03/2017
ABX163230CP/ABX;90;28/03/2017
ABX163230CU/ABX;88;01/06/2017
ABX163262AJ/ABX;72;16/02/2017
ABX163262AK/ABX;72;22/02/2017
ABX163262AL/ABX;73;22/02/2017
ABX163262AQ/ABX;70;08/03/2017
ABX163286BT/ABX;74;19/01/2017
ABX163286BX/ABX;73;23/01/2017
ABX163288CY/ABX;71;19/01/2017
ABX163288DC/ABX;71;23/01/2017
ABX163463J/ABX;80;28/09/2016
ABX163533AB/ABX;81;13/04/2017
ABX163533AK/ABX;77;31/03/2017
ABX163533BE/ABX;75;26/07/2017
ABX163533CA/ABX;76;02/08/2016
ABX163533CD/ABX;77;01/08/2016
ABX163533CE/ABX;82;27/07/2016
ABX163533CF/ABX;82;28/07/2016
ABX163533CG/ABX;85;01/08/2016
ABX163533CJ/ABX;78;31/08/2016
ABX163533CN/ABX;80;10/02/2017
ABX163533CO/ABX;80;14/02/2017
ABX163533CP/ABX;76;17/02/2017
ABX163533CQ/ABX;76;20/02/2017
ABX163533CZ/ABX;77;01/03/2017
ABX163533DB/ABX;81;04/07/2017
ABX164131BO/ABX;88;07/04/2016
ABX164131CC/ABX;85;01/08/2016
ABX164131CU/ABX;80;10/03/2017
ABX164131CV/ABX;78;15/03/2017
ABX164131DG/ABX;70;20/03/2017
ABX164131DI/ABX;70;28/03/2017
ABX164131DK/ABX;72;28/03/2017
ABX164131DL/ABX;72;28/03/2017
ABX164131DM/ABX;73;28/03/2017
ABX164131DN/ABX;73;28/03/2017
ABX164131DO/ABX;73;28/03/2017
ABX164131DP/ABX;73;28/03/2017
ABX164131DQ/ABX;71;28/03/2017
ABX164131DS/ABX;73;28/03/2017
ABX164131DT/ABX;72;28/03/2017
ABX164131DU/ABX;73;28/03/2017
ABX164131ED/ABX;86;07/07/2017
ABX164422G/IMP;99;20/04/2016
ABX164829BS/ABX;78;10/02/2017
ABX164829BU/ABX;95;19/04/2016
ABX164829BY/ABX;89;12/05/2016
ABX164829BZ/ABX;80;27/06/2016
ABX164829CA/ABX;80;30/06/2016
ABX164829CC/ABX;80;30/06/2016
ABX164829CH/ABX;79;16/11/2016
ABX164829CJ/ABX;78;14/02/2017
ABX164829CK/ABX;88;12/04/2017
ABX164829CL/ABX;93;20/04/2017
ABX164829CM/ABX;92;04/05/2017
ABX164829CO/ABX;90;21/07/2017
ABX164829CT/ABX;82;05/09/2017
ABX164829CZ/ABX;78;10/10/2017
ABX164877AM/ABX;70;24/01/2017
ABX164877AO/ABX;69;23/01/2017
ABX164877AQ/ABX;69;02/02/2017
ABX164877AS/ABX;92;16/02/2017
ABX164877AT/ABX;92;17/02/2017
ABX164877AV/ABX;88;03/03/2017
ABX164877AW/ABX;88;08/03/2017
ABX164877AX/ABX;87;09/03/2017
ABX164877BA/ABX;94;05/09/2017
ABX165271AB/ABX;66;07/06/2017
ABX165271AC/ABX;77;06/06/2017
ABX165271AE/ABX;79;21/07/2017
ABX165271AF/ABX;79;01/08/2017
ABX165271AI/ABX;76;05/09/2017
ABX165271AM/ABX;72;22/09/2017
ABX165271AS/ABX;74;10/10/2017
ABX170741AE/ABX;104;05/05/2017
ABX176329E/ANA;98;24/03/2016
ABX176329F/ANA;88;24/03/2016
ABX176329G/ANA;120;24/03/2016
ABX176329H/ANA;87;24/03/2016
ABX176824G/JSA;108;29/06/2017
ABX176824M/JSA;110;06/10/2017
ABX1799121D/ABX;86;05/09/2017
ABX179973AU/ABX;85;03/10/2016
ABX179973AX/ABX;85;12/10/2016
ABX179973BM/ABX;83;28/03/2017
ABX179973BN/ABX;84;30/03/2017
ABX179973BU/ABX;92;01/06/2017
ABX179973CB/ABX;95;21/07/2017
ABX179973CI/ABX;88;10/10/2017
ABX179973CP/ABX;89;20/10/2017
ABX179973X/ABX;90;11/10/2016
ABX180493AH/ABX;87;05/10/2016
ABX180493AJ/ABX;88;08/11/2016
ABX180493Z/ABX;86;20/04/2016
ABX180944Q/ABX;122;27/06/2016
ABX181256K/ABX;63;02/06/2016
ABX181256L/ABX;78;03/05/2017
ABX181256M/ABX;70;03/05/2017
ABX181287AJ/ABX;92;19/04/2016
ABX181287AN/ABX;79;29/07/2016
ABX181287AP/ABX;82;02/08/2016
ABX181287AQ/ABX;80;04/08/2016
ABX181287AR/ABX;81;04/08/2016
ABX181287AS/ABX;77;10/03/2017
ABX181287AT/ABX;76;10/03/2017
ABX181287BI/ABX;97;30/08/2017
ABX181287BJ/ABX;95;21/09/2017
ABX181750L/ABX;109;04/11/2016
ABX182532AA/ABX;84;29/07/2016
ABX182532AB/ABX;87;02/08/2016
ABX182532AC/ABX;86;04/08/2016
ABX182532AD/ABX;86;04/08/2016
ABX182532AR/ABX;96;05/12/2016
ABX182532AS/ABX;97;05/12/2016
ABX182532BB/ABX;83;31/03/2017
ABX182534B/ABX;111;26/07/2017
ABX182534M/ABX;106;12/05/2016
ABX182534O/ABX;107;28/09/2016
ABX182534P/ABX;110;05/10/2016
ABX182568AY/GJO;82;28/11/2016
ABX182568BF/GJO;82;08/12/2016
ABX182568BK/GJO;82;08/12/2016
ABX182620AA/ABX;104;06/02/2017
ABX182620AE/ABX;100;17/05/2017
ABX182620AI/ABX;98;31/05/2017
ABX182620AJ/ABX;102;20/07/2017
ABX182620AO/ABX;99;31/08/2017
ABX182891AA/ABX;109;13/06/2016
ABX182891AB/ABX;117;05/10/2016
ABX182891AC/ABX;115;09/11/2016
ABX182891AE/ABX;112;01/06/2017
ABX182891Y/ABX;113;15/04/2016
ABX182891Z/ABX;117;20/04/2016
ABX183091K/ABX;84;29/07/2016
ABX183091L/ABX;84;02/08/2016
ABX183091N/ABX;75;04/08/2016
ABX183091O/ABX;73;05/08/2016
ABX183103C/ABX;79;07/06/2016
ABX183103D/ABX;77;09/06/2016
ABX183103J/ABX;80;01/09/2016
ABX183326AB/ABX;71;23/01/2017
ABX183326AC/ABX;83;16/02/2017
ABX183326AD/ABX;85;17/02/2017
ABX183326AH/ABX;88;05/09/2017
ABX183326AI/ABX;89;05/09/2017
ABX183326Z/ABX;71;19/01/2017
ABX183327M/ABX;86;27/07/2016
ABX183327W/ABX;74;10/10/2017
ABX201008J/ABX;83;10/02/2017
ABX201008K/ABX;83;14/02/2017
ABX201008O/ABX;78;03/03/2017
ABX217919GB/NLE;71;26/09/2017
ABX226336AN/DGI;62;07/07/2016
ABX226441C/ABX;75;06/06/2016
ABX226441N/JSA;76;17/02/2017
ABX226441P/JSA;74;21/02/2017
ABX226441Q/JSA;86;21/02/2017
ABX226441R/JSA;92;21/02/2017
ABX226441S/JSA;83;22/02/2017
ABX230659C/JSA;74;31/01/2017
ABX230732BR/BPM;124;06/06/2016
ABX230732BS/BPM;129;28/09/2016
ABX230732BV/BPM;106;11/10/2016
ABX230732BW/BPM;107;09/11/2016
ABX230782B/BPM;109;24/01/2017
ABX230782C/BPM;121;09/06/2016
ABX230782F/BPM;108;24/01/2017
ABX231326I/ABX;89;01/08/2016
ABX231326J/ABX;91;02/08/2016
ABX231326K/ABX;88;04/08/2016
ABX231346AH/ABX;55;24/04/2017
ABX231408E/ABX;99;07/07/2016
ABX231410/ABX;63;24/01/2017
ABX231490G/ABX;62;14/09/2017
ABX231490J/ABX;63;14/09/2017
ABX231507A/ABX;50;19/08/2016
ABX231507A/ABX;50;21/04/2017
ABX231517Q/ABX;86;01/08/2016
ABX231517R/ABX;86;02/08/2016
ABX231517S/ABX;85;04/08/2016
ABX231608A/ABX;106;21/08/2017
ABX231676AL/ABX;65;10/06/2016
ABX231733L/ABX;101;07/09/2017
ABX231810E/ABX;97;15/06/2016
ABX231812A/ABX;63;24/01/2017
ABX232077B/ABX;87;13/04/2017
ABX232077Q/ABX;80;06/06/2016
ABX232155F/ABX;94;09/06/2016
ABX232155G/ABX;94;14/06/2016
ABX232155I/ABX;98;05/10/2016
ABX232155L/ABX;94;01/06/2017
ABX232160B/ABX;57;14/10/2016
ABX232162F/ABX;76;07/04/2016
ABX232300G/ABX;91;25/08/2017
ABX232314B/ABX;106;02/11/2017
ABX232334A/ABX;74;31/01/2017
ABX232334F/ABX;78;05/10/2017
ABX232429F/ABX;119;13/06/2016
ABX232429H/ABX;113;14/06/2016
ABX232429I/ABX;113;15/06/2016
ABX232429J/ABX;119;27/06/2016
ABX232429K/ABX;118;30/06/2016
ABX232429L/ABX;118;30/06/2016
ABX232429M/ABX;101;28/09/2016
ABX232429N/ABX;115;16/11/2016
ABX232481A/ABX;89;07/09/2017
ABX232579AA/MGU;107;13/06/2016
ABX232579AC/ABX;81;02/08/2016
ABX232579AE/ABX;84;03/08/2016
ABX232579AF/ABX;83;31/08/2016
ABX232579AH/MGU;108;09/11/2016
ABX232736A/ABX;87;26/01/2017
ABX232888I/ABX;95;07/09/2017
ABX232888J/ABX;115;25/08/2017
ABX232888L/ABX;92;12/05/2016
ABX232978E/ABX;107;18/08/2017
ABX232978F/ABX;108;22/08/2017
ABX232978G/ABX;101;01/09/2017
ABX233147O/ABX;80;03/05/2017
ABX233148S/ABX;82;03/05/2017
ABX233148T/ABX;81;03/05/2017
ABX233222D/ABX;99;18/04/2016
ABX233222E/ABX;103;20/04/2016
ABX233222F/ABX;103;02/05/2016
ABX233222G/ABX;110;03/05/2016
ABX233222H/ABX;107;12/10/2016
ABX233225F/ABX;99;30/03/2016
ABX233274F/ABX;88;29/06/2017
ABX233342B/ABX;52;14/10/2016
ABX233541C/DGI;93;21/06/2017
ABX233541D/ABX;96;21/08/2017
ABX233770AZ/IMP;85;08/12/2016
ABX233770BO/IMP;87;08/12/2016
ABX234172E/ABX;83;06/06/2017
ABX234237AM/ABX;85;19/07/2017
ABX234237M/ABX;88;11/05/2016
ABX234237N/ABX;92;25/08/2016
ABX234237P/ABX;89;28/02/2017
ABX234610D/ABX;51;20/03/2017
ABX234610E/ABX;54;21/03/2017
ABX234610F/ABX;60;21/03/2017
ABX234823C/ABX;79;21/02/2017
ABX234823D/ABX;80;17/08/2017
ABX234965C/ABX;98;18/04/2016
ABX234965E/ABX;101;20/04/2016
ABX234965F/ABX;99;02/05/2016
ABX234965G/ABX;89;03/05/2016
ABX234965H/ABX;81;06/06/2016
ABX234965I/ABX;89;27/06/2016
ABX235065R/IMP;96;19/08/2016
ABX235094L/ABX;58;06/06/2016
ABX235095J/ABX;106;06/06/2016
ABX235095N/ABX;107;02/08/2016
ABX235095R/ABX;105;22/02/2017
ABX235095T/ABX;106;17/03/2017
ABX235095W/ABX;111;06/06/2017
ABX235200R/ABX;85;12/05/2016
ABX235201S/ABX;90;14/10/2016
ABX235201T/ABX;91;17/10/2016
ABX235201U/ABX;95;19/10/2016
ABX235201V/ABX;94;21/10/2016
ABX235201W/ABX;94;24/10/2016
ABX235201X/ABX;96;25/10/2016
ABX235201Y/ABX;96;26/10/2016
ABX235201Z/ABX;98;26/10/2016
ABX235238AE/ABX;86;18/08/2017
ABX235238Q/ABX;81;02/08/2016
ABX235238R/ABX;79;01/08/2016
ABX235238T/ABX;79;31/08/2016
ABX235238W/ABX;79;05/01/2017
ABX235238Z/ABX;79;05/01/2017
ABX235338E/ABX;84;12/05/2016
ABX235480I/ABX;69;10/03/2017
ABX235537C/ABX;92;04/07/2016
ABX235603A/ABX;106;27/06/2016
ABX245417R/SCL;82;28/11/2016
ABX245417T/SCL;84;08/12/2016
ABX245417Y/SCL;83;08/12/2016
ABX266715J/ABX;91;10/06/2016
ABX266715L/ABX;103;20/04/2017
ABX266715M/ABX;108;29/06/2017
ABX266715N/ABX;52;29/06/2017
ABX266715O/ABX;116;03/07/2017
ABX266715P/ABX;116;04/07/2017
ABX266715R/ABX;123;06/07/2017
ABX266715S/ABX;124;17/07/2017
ABX292816I/ABX;97;29/06/2017
ABX292816J/ABX;98;18/07/2017
ABX293541E/ABX;85;09/09/2016
ABX293541F/ABX;85;09/09/2016
ABX293541L/ABX;80;06/06/2017
ABX293655B/ABX;118;03/07/2017
ABX293655C/ABX;106;05/07/2017
ABX293739/ABX;117;13/06/2016
ABX293739B/ABX;118;15/06/2016
ABX293741A/ABX;107;14/06/2016
ABX293741B/ABX;106;17/06/2016
ABX293741D/ABX;123;01/06/2017
ABX293741E/ABX;107;21/07/2017
ABX293945B/ABX;78;08/07/2016
ABX296789/ABX;110;03/10/2016
ABX296789A/ABX;111;12/10/2016
ABX297019/ABX;89;11/10/2016
ABX297024F/ABX;71;26/10/2016
ABX302160AE/IMP;65;07/02/2017
ABX302160AG/IMP;61;08/02/2017
ABX302160AH/IMP;62;08/02/2017
ABX302160F/IMP;68;17/01/2017
ABX302160S/IMP;64;25/01/2017
ABX302160T/IMP;60;25/01/2017
ABX302160Z/IMP;61;31/01/2017
ABX302162/ABX;70;22/12/2016
ABX302162A/ABX;75;23/12/2016
ABX302162AB/ABX;63;08/02/2017
ABX302162AC/ABX;65;08/02/2017
ABX302162AD/ABX;74;08/02/2017
ABX302162AE/ABX;69;08/02/2017
ABX302162AF/ABX;67;08/02/2017
ABX302162AG/ABX;67;08/02/2017
ABX302162AH/ABX;69;10/02/2017
ABX302162B/ABX;70;04/01/2017
ABX302162E/ABX;64;07/02/2017
ABX302162F/ABX;41;17/01/2017
ABX302162G/ABX;55;17/01/2017
ABX302162H/ABX;57;18/01/2017
ABX302162I/ABX;71;25/01/2017
ABX302162J/ABX;77;25/01/2017
ABX302162K/ABX;69;25/01/2017
ABX302162M/ABX;67;01/02/2017
ABX302162P/ABX;65;01/02/2017
ABX302162W/ABX;73;07/02/2017
ABX302162X/ABX;67;07/02/2017
ABX302162Y/ABX;68;07/02/2017
ABX302162Z/ABX;68;07/02/2017
ABX302430/ABX;107;04/01/2017
ABX302432/ABX;95;04/01/2017
ABX303139D/ABX;50;28/02/2017
ABX303141A/ABX;74;10/03/2017
ABX303172E/ABX;93;28/02/2017
ABX303635D/ABX;86;28/03/2017
ABX303635E/ABX;84;21/06/2017
ABX303635G/ABX;85;21/07/2017
ABX303635H/ABX;87;01/08/2017
ABX304026B/IMP;83;09/03/2017
ABX304027/ABX;78;03/03/2017
ABX304027A/ABX;77;03/03/2017
ABX304027B/ABX;76;09/03/2017
ABX304035/ABX;85;03/03/2017
ABX304035A/ABX;81;09/03/2017
ABX304231BE/FJJ;72;05/04/2017
ABX304418/ABX;85;31/03/2017
ABX304418A/ABX;85;21/04/2017
ABX304418B/ABX;86;04/07/2017
ABX304789A/ABX;76;06/04/2017
ABX305686C/ABX;83;28/06/2017
ABX305793G/ABX;90;04/08/2017
ABX307077A/ABX;92;03/08/2017
ABX307104T/ABX;94;30/08/2017
ABX307266A/ABX;85;25/08/2017
ADY113089F/ADY;82;24/04/2017
AJO215505AJ/AJO;84;31/08/2017
ANA105301K/ANA;85;09/09/2016
ANA307591J/ANA;81;22/09/2017
ANL034280AX/ANL;83;13/07/2016
ANL089969A/ANL;84;31/08/2017
ANL090796C/ANL;106;23/03/2017
ANL108956AR/ANL;99;31/08/2017
ANL161601/ANL;109;26/07/2017
ANL162816AG/ANL;96;02/08/2017
ANL162816Q/ANL;99;26/07/2017
ANL163544Q/ANL;84;13/07/2016
ANL163599AM/ANL;112;13/07/2016
ANL165364AY/ANL;113;21/11/2016
ANL165366BS/ANL;110;30/03/2017
ANL177948S/ANL;100;13/07/2016
ANL182100BD/ANL;113;01/04/2016
ANL182658A/ANL;107;26/07/2017
ANL227671G/ANL;98;26/07/2017
ANL228459Y/ANL;115;30/03/2017
ANL228743DM/ANL;117;26/09/2016
ANL228789R/ANL;89;15/07/2016
ANL228954AA/ANL;84;15/07/2016
ANL229031NK/ANL;76;10/10/2017
ANL229881G/ANL;88;13/07/2016
ANL230410AF/ANL;83;25/08/2017
ANL230449O/ANL;103;15/07/2016
ANL230509BM/ANL;116;26/09/2016
ANL230849L/ANL;103;28/04/2017
ANL230849R/ANL;114;02/06/2017
ANL230866B/ANL;115;15/07/2016
ANL231912H/ANL;66;13/07/2016
ANL231913/ANL;109;13/07/2016
ANL231914H/ANL;108;13/07/2016
ANL231915/ANL;94;13/07/2016
ANL232281AP/ANL;87;29/08/2017
ANL232281AQ/ANL;88;29/08/2017
ANL232281V/ANL;89;26/07/2017
ANL232603/ANL;109;13/07/2016
ANL232734C/ANL;109;30/03/2017
ANL232844A/ANL;90;13/07/2016
ANL235198W/MBA;76;26/07/2017
ANL235198Y/MBA;73;28/08/2017
ANL235199C/ANL;75;26/07/2017
ANL235248AG/ANL;82;29/08/2017
ANL235248AH/ANL;82;29/08/2017
ANL235248J/ANL;90;26/07/2017
ANL235551A/ANL;107;23/01/2017
ANL296984AE/ANL;106;12/06/2017
ANL302549B/ANL;105;30/03/2017
ATA266751E/ATA;92;06/10/2017
ATA301031D/ATA;106;05/10/2017
BIL021912DQ/DGI;101;17/03/2017
BIL030537GZ/DGI;97;21/11/2016
BIL036004AM/BIL;61;07/10/2016
BIL036007U/BIL;84;04/05/2016
BIL036719AT/BIL;81;04/08/2016
BIL036719BH/BIL;86;01/12/2016
BIL036719BJ/BIL;86;01/12/2016
BIL088085BQ/BIL;92;10/08/2017
BIL088185AI/BIL;94;11/07/2016
BIL088185AK/BIL;89;11/07/2016
BIL088185AL/BIL;91;25/07/2016
BIL088185AP/FJJ;71;31/08/2017
BIL088273AC/BIL;93;29/06/2017
BIL089414L/BIL;69;23/05/2016
BIL089418BB/BIL;100;13/12/2016
BIL089418DV/BIL;88;29/09/2016
BIL089418EA/BIL;80;11/05/2016
BIL089418ED/BIL;78;23/05/2016
BIL089418EO/BIL;76;16/09/2016
BIL089418GQ/BIL;81;22/06/2017
BIL089764K/BIL;97;07/02/2017
BIL090372BJ/BIL;97;20/03/2017
BIL090442M/BIL;76;13/06/2017
BIL090442Z/BIL;65;13/06/2017
BIL090603Y/BIL;62;04/08/2016
BIL090830FD/BIL;66;10/06/2016
BIL090830FE/BIL;66;10/06/2016
BIL090830GN/BIL;62;17/03/2017
BIL090830GR/BIL;64;21/02/2017
BIL090925E/BIL;113;25/08/2017
BIL091480BL/BIL;92;01/12/2016
BIL091480BN/BIL;90;01/12/2016
BIL091580K/BIL;73;08/09/2016
BIL091580L/BIL;72;08/09/2016
BIL091788CV/BIL;95;18/01/2017
BIL091919BL/BIL;81;12/06/2017
BIL091919BZ/BIL;74;29/09/2016
BIL091919CC/BIL;72;05/10/2016
BIL092194GI/DGI;100;17/03/2017
BIL092253D/BIL;50;08/07/2016
BIL102493BN/BIL;112;13/10/2016
BIL111736BC/BIL;85;15/11/2016
BIL161836AC/BIL;86;25/08/2017
BIL161836X/BIL;92;10/06/2016
BIL162150G/BIL;70;21/11/2016
BIL177216K/SKO;105;24/01/2017
BIL181159DD/BIL;78;19/01/2017
BIL181416B/BIL;50;08/07/2016
BIL181416E/BIL;52;10/05/2017
BIL181770AV/BIL;105;23/05/2016
BIL182022X/BIL;82;23/05/2016
BIL182022Z/BIL;78;23/05/2016
BIL182210AR/BIL;69;10/06/2016
BIL182210AT/BIL;69;01/07/2016
BIL182210AW/BIL;70;30/06/2016
BIL182619AW/BIL;99;10/06/2016
BIL182894F/BIL;109;15/06/2016
BIL183213O/BIL;124;10/06/2016
BIL224376T/BPM;69;17/08/2016
BIL228563F/BIL;99;08/07/2016
BIL228832A/BIL;69;09/02/2017
BIL228832B/BIL;77;01/12/2016
BIL228832D/BIL;73;01/12/2016
BIL228832L/BIL;54;02/06/2017
BIL228990G/BIL;85;24/04/2017
BIL231138D/BIL;88;09/02/2017
BIL231181E/DGI;81;31/01/2017
BIL232538V/BIL;105;04/08/2016
BIL232748W/BIL;94;11/04/2017
BIL233152X/BIL;101;21/11/2016
BIL233152Z/BIL;98;16/11/2016
BIL233363AA/BIL;89;25/08/2017
BIL233363N/BIL;92;25/08/2017
BIL233363W/PCH;78;29/09/2016
BIL233373DD/BIL;79;31/01/2017
BIL233373DH/BIL;76;01/03/2017
BIL233373EA/BIL;97;29/06/2017
