article_type.code;article.code;article.description;article.commentaire;article.collection
C;FJJ091723AJ/FJJ;YOGA DREAM;12041982AJ;1
C;FJJ092195AK/FJJ;TYP CABARET CAPSULE;12052532AK;1
C;FJJ092195AK/FJJ;TYP CABARET CAPSULE;12052532AK;1
C;FJJ092195AX/FJJ;NARC CITRUS;12052532AX;1
C;FJJ092195AY/FJJ;TYP CABARET;12052532AY;1
C;FJJ092250A/FJJ;JADODREAM;12061354A;1
C;FJJ092529P/FJJ;TYP CHLOE HYPO;12055221P;1
C;FJJ101420C/FJJ;DOVE  CREMEUX;12061140C;1
C;FJJ104632F/FJJ;ROSE;12041693F;1
C;FJJ108775/FJJ;AXE DARK TEMPTATION+ COFFEE;12050770;1
C;FJJ108775AH/FJJ;AXE DARK TEMPTATION;12050770AH;1
C;FJJ108776D/FJJ;CODE MEN/SANTAL/VANILLE;12058339D;1
C;FJJ110575F/FJJ;TYP ABRICOT BUTTER;12056898F;1
C;FJJ110716A/FJJ;OMBRE ROSE/CHANEL;12042138A;1
C;FJJ111059H/FJJ;TYP RHUBARBE- PATCH;12042256H;1
C;FJJ111808A/FJJ;THE VERT ET ROSE DU DESERT;12059649A;1
C;FJJ112344K/FJJ;TYP RALPH;12054731K;1
C;FJJ112344N/FJJ;TYP RALPH;12054731N;1
C;FJJ112344S/FJJ;RALPH RASIN;12054731S;1
C;FJJ140984N/FJJ;TYP HYPNOTIC/ORANGE FLOWER +TIARÉ;12052822N;1
C;FJJ141541AB/FJJ;VERSOUNGE++;12052936AB;1
C;FJJ141541AO/FJJ;TYP OCEAN LOUNGE/I;12052936AO;1
C;FJJ141541AO/FJJ;TYP OCEAN LOUNGE/I;12052936AO;1
C;FJJ141541C/FJJ;TYP OCEAN LOUNGE/I;12052936C;1
C;FJJ141761H/FJJ;ANGEL INNOCENT TYP;12052820H;1
C;FJJ142038AI/FJJ;CHERRY R FRAISE+MINT;12050349AI;1
C;FJJ142038BC/FJJ;CHERRY R;12050349BC;1
C;FJJ142038G/FJJ;BERRY DELICIOUS;12050349G;1
C;FJJ162003A/FJJ;TABAC DE JAMAIQUE;12053333A;1
C;FJJ162004G/FJJ;TYP LE MALE/ ONE MILLION/THE ONE;12047771G;1
C;FJJ162007/FJJ;BOSS BOTTLED/FIERCE;12053699;1
C;FJJ162008/FJJ;DIOR HOMME SPORT;12053698;1
C;FJJ162151W/FJJ;AMMONIA FRAMBOISE ROSE;12049945W;1
C;FJJ162411BI/FJJ;TYP VOYAGE/ DIOR HOMME/TERRE HERMÉS;12054477BI;1
C;FJJ162415B/FJJ;FUEL SPIRIT;12053976B;1
C;FJJ162415C/FJJ;FUEL SPIRIT;12053976C;1
C;FJJ162416/FJJ;COUPABLE;12054019;1
C;FJJ162417/FJJ;DEGRE NIGHT;12054020;1
C;FJJ162461U/FJJ;AMANDE;12059905U;1
C;FJJ162625BO/FJJ;BLEU DE CHANEL+FRAIS;12051660BO;1
C;FJJ162625CQ/FJJ;BLEU DE CHANEL+FRAIS;12051660CQ;1
C;FJJ162625D/FJJ;BLEU DE CHANEL;12051660D;1
C;FJJ162625DC/FJJ;BLEU CHANEL FRAIS DEO EFFECTIVE;12051660DC;1
C;FJJ162875E/FJJ;TYP ALIEN;12056131E;1
C;FJJ162875E/FJJ;TYP ALIEN;12056131E;1
C;FJJ163246Q/FJJ;TYP FA SMOOTHIE PASSION ET PHYSALIS 2010;12052943Q;1
C;FJJ163247AE/FJJ;FRESH MANGO;12052945AE;1
C;FJJ163247AH/FJJ;FRESH MANGO;12052945AH;1
C;FJJ163391/FJJ;FJORIE040D;12059039;1
C;FJJ163391A/FJJ;FJORIE040D;12059039A;1
C;FJJ163393/FJJ;FJFRUI071EE;12050806;1
C;FJJ163393A/FJJ;FJFRUI071EE;12050806A;1
C;FJJ163471D/FJJ;TYP CHOCOCHERRY BODY SHOP;12056005D;1
C;FJJ163471D/FJJ;TYP CHOCOCHERRY BODY SHOP;12056005D;1
C;FJJ163472Q/FJJ;TRAVOLTA;12058149Q;1
C;FJJ163636AD/FJJ;TYP ONE MILLION /GRAVITY/HUGO;12056911AD;1
C;FJJ163636S/FJJ;TYP ONE MILLION /HUGO/LE MALE;12056911S;1
C;FJJ163647BN/FJJ;GREEN TEA;12052547BN;1
C;FJJ163647CA/FJJ;GREEN TEA DEO EFFECTIF;12052547CA;1
C;FJJ163647CK/FJJ;LEMON GRASS RICE;12052547CK;1
C;FJJ163648/FJJ;TYP BOSS BOTTLED +FRAIS;12047770;1
C;FJJ163648P/FJJ;TYP BOSS BOTTLED +FRAIS;12047770P;1
C;FJJ163648W/FJJ;TYP BOSS BOTTLED DEO EFFECTIV;12047770W;1
C;FJJ163924BG/FJJ;TYP SYOSS COLOR;12052742BG;1
C;FJJ164303B/FJJ;COLO PEACH;12054163B;1
C;FJJ164303E/FJJ;COLO PEACH;12054163E;1
C;FJJ164516K/FJJ;POIRE-VANILLE;12049751K;1
C;FJJ165565R/FJJ;ATHENA;12054081R;1
C;FJJ179619A/FJJ;TONKA  100% NAT;12059055A;1
C;FJJ179619A/FJJ;TONKA  100% NAT;12059055A;1
C;FJJ179619B/FJJ;TONKA  100% NAT;12059055B;1
C;FJJ179619B/FJJ;TONKA  100% NAT;12059055B;1
C;FJJ180173G/FJJ;MAGNOLIA 100% NAT;12049750G;1
C;FJJ180173G/FJJ;MAGNOLIA 100% NAT;12049750G;1
C;FJJ182206O/FJJ;POMMIER D'ÉTÉ;12056233O;1
C;FJJ182269AC/FJJ;TYP SENSUOUS;12057562AC;1
C;FJJ182269Y/FJJ;MAPLE WATER &CANNELLE;12057562Y;1
C;FJJ182932E/FJJ;L'INSTANT ALMOND;12050919E;1
C;FJJ182933Z/FJJ;BLUEBERRY LAVENDER;12057563Z;1
C;FJJ183040/FJJ;BLUEBERRY LAVENDER;12051652;1
C;FJJ225642BD/FJJ;REXONA COTTON SPIRIT;12056541BD;1
C;FJJ226020A/FJJ;TYP CY PUISSANT;12058150A;1
C;FJJ226120AD/FJJ;GRAINE DE COCO;12056373AD;1
C;FJJ226120BB/FJJ;GRAINE DE COCO ENRICHI;12056373BB;1
C;FJJ226120BF/FJJ;GRAINE DE COCO+ MONOI;12056373BF;1
C;FJJ226120DZ/FJJ;COCO LACTÉ;12056373DZ;1
C;FJJ226121A/FJJ;TYP DOLCE GABBANA MASC ORI;12056942A;1
C;FJJ226148K/FJJ;PECHE NATRUE;12056088K;1
C;FJJ226148K/FJJ;PECHE NATRUE;12056088K;1
C;FJJ226148S/FJJ;PECHE NATRUE;12056088S;1
C;FJJ226148T/FJJ;PECHE NATRUE;12056088T;1
C;FJJ226735/FJJ;FRAMBOISE;12058077;1
C;FJJ226750A/FJJ;ABRICOT BUEBCHEN;12060203A;1
C;FJJ226820N/FJJ;TYP DRAKKAR NOIR+ MENTHOL;12056267N;1
C;FJJ226972G/FJJ;BOSS ORANGE TYPE;12058151G;1
C;FJJ227215/FJJ;COLO TYP NATURAL&EASY HENKEL;12056601;1
C;FJJ227257A/FJJ;MANGO;12058952A;1
C;FJJ227347Z/FJJ;TYP HUGO ELEMENTS/COOL WATER;12055931Z;1
C;FJJ227530P/FJJ;MISS DIOR CHERIE/FLOWERBOMB;12057556P;1
C;FJJ227530Q/FJJ;MISS DIOR CHERIE/FLOWERBOMB/ COCO MAD;12057556Q;1
C;FJJ227627R/FJJ;LAIT DE COCO ALLNETQ;12056805R;1
C;FJJ227851T/FJJ;CHOCOLAT+ ORANGE+YUZU;12056236T;1
C;FJJ227966W/FJJ;SABLÉ ANIS;12056277W;1
C;FJJ228297N/FJJ;ONE MILLION TYYP;12057349N;1
C;FJJ229092J/FJJ;TYP LE MALE;12055901J;1
C;FJJ229386C/FJJ;FRAMBOISE+ CASSIS;12055939C;1
C;FJJ229606D/FJJ;VAPEUR DE RIZ KENZOKI;12056569D;1
C;FJJ229918A/FJJ;NAGAYA;12059770A;1
C;FJJ229919/JUN;MATSURI COTTON;12058950;1
C;FJJ229931A/FJJ;IKI SKY;12058779A;1
C;FJJ229932A/FJJ;EX SIFORI138D;12058316A;1
C;FJJ230392F/FJJ;CREME BRULEE;12057810F;1
C;FJJ230392F/FJJ;CREME BRULEE;12057810F;1
C;FJJ231366F/FJJ;FLEUR DE SAFRAN;12057188F;1
C;FJJ231488C/FJJ;SWEETIES;12060587C;1
C;FJJ231515X/FJJ;GREEN TEA OCC;12058091X;1
C;FJJ231587R/FJJ;BELLA JULIA;12059613R;1
C;FJJ232986/FJJ;VERVEINE AGRUMES;12057704;1
C;FJJ233139/FJJ;GRAND AIR;12062744;1
C;FJJ233408B/FJJ;AMMONIA ROSE RED WOODY;12061892B;1
C;FJJ233408C/FJJ;AMMONIA ROSE RED WOODY;12061892C;1
C;FJJ233409/FJJ;AMMONIA VIF;12062757;1
C;FJJ233430C/FJJ;ACTIVE GREEN NATRUE;12061209C;1
C;FJJ233461/ANL;IDEAL GUY;12061738;1
C;FJJ233468/DGI;INSTANT;12061200;1
C;FJJ233486R/FJJ;CASINO DOLLAR;12060497R;1
C;FJJ233538K/FJJ;GRAPE DE PECHE;12061011K;1
C;FJJ234117/FJJ;BALMATIC;12061786;1
C;FJJ234327B/FJJ;MOJITO MENTHE ORANGE;12061619B;1
C;FJJ234343/JJJ;MIEL DE FLEUR;12061077;1
C;FJJ234557/BIL;CHOCO/NOISETTE;12061427;1
C;FJJ234629X/FJJ;NUMBER FOUR;12061897X;1
C;FJJ234629X/FJJ;NUMBER FOUR;12061897X;1
C;FJJ235596/DGI;EX FJORIE026H;12061674;1
C;FRE162140B/FRE;LAVENDER & ROSEMARY PISO BEAT THE BEST FRESH MATIC;12050382B;1
C;GZQ032169G/GZQ;FLORLA FRUITY;12029785G;1
C;GZQ034046CE/GZQ;FRESH;12026474CE;1
C;GZQ034744I/GZQ;TAJ SUNSET ESCADA;12026867I;1
C;GZQ036066BV/GZQ;LUX TROPICAL FRUITY CONCEPT SHOWER GEL;12029193BV;1
C;GZQ084171AO/GZQ;FLORAL FRUITY;12029399AO;1
C;GZQ085064AD/GZQ;TROPICAL PUNCH;12029463AD;1
C;GZQ088927AR/GZQ;HS APPLE SHAMPOO;12030648AR;1
C;GZQ089325F/GZQ;MILKY BODY SOAP BOUNCIA PREMIUM FLORAL;12030370F;1
C;GZQ089325I/GZQ;MILKY BODY SOAP BOUNCIA PREMIUM FLORAL;12030370I;1
C;HHE106366AC/HHE;QUICK DRY  813748   RX-111802   TEU-H-3031;12037885AC;1
C;IFA161541I/IFA;CASSIS ET AMANDE;12059263I;1
C;IFA225128J/IFA;REGLISSE IRIS COTTAGE;12057719J;1
C;IFA225533/IFA;GUIMAUVE REGLISSE COTTAGE;12059198;1
C;IMP036716E/IMP;REVE JAPONAIS;12061862E;1
C;IMP163231F/IMP;MONOI TROPICAL;12061755F;1
C;IMP163232D/IMP;MOON CHERRY;12061630D;1
C;IMP180824N/IMP;LOTUS BLUE;12055216N;1
C;IMP181127B/IMP;APPFELSTRUDEL;12051175B;1
C;IMP182109O/IMP;LINSEED & ROSEHIP;12050946O;1
C;IMP182109S/IMP;LINSEED & ROSEHIP;12050946S;1
C;IMP182659F/IMP;DECLARATION CARTIER;12055226F;1
C;IMP182822H/IMP;PETITE MYRTILLE DGFRUI087X;12052478H;1
C;IMP182854A/IMP;BLACK XS PACO RABANNE;12055249A;1
C;IMP182856C/IMP;BOMBSHELL VICTORIA'S SECRET;12055251C;1
C;IMP182885AW/IMP;SPARKLING FINGER LIME & AGAVE;12051174AW;1
C;IMP182885G/IMP;SPARKLING FINGER LIME & AGAVE;12051174G;1
C;IMP182885K/IMP;SPARKLING FINGER LIME & AGAVE;12051174K;1
C;IMP182893J/IMP;BOIS EXOTIQUE NBWOOD023T;12052483J;1
C;IMP233603C/IMP;BLUE LEMON;12060886C;1
C;IMP233680C/IMP;FEMINITÉ DU BOIS;12061803C;1
C;IMP233770AA/IMP;LE CHAT BICARBONATE;12061444AA;1
C;IMP233770AB/IMP;LE CHAT BICARBONATE;12061444AB;1
C;IMP233821D/IMP;DIVINE IDYLL;12061105D;1
C;IMP233948/DGI;PECHE DE MARSEILLE DISH;12061283;1
C;IMP233949D/IMP;PANTENE CHINA GC;12062183D;1
C;IMP233979A/IMP;MUGUET FROM DGFLO-042G;12061194A;1
C;IMP235257B/IMP;AIR FRESHENER CHERRY;12061679B;1
C;IMP235974/NLE;NCNC129A;12062173;1
C;JDM092217A/JDM;JARDIN DE MOUSSE;12060380A;1
C;JDM092496G/JDM;ONE MILLION COLOGNE WIFI 6;12042544G;1
C;JDM092496H/JDM;ONE MILLION COLOGNE WIFI 8 EUROS;12042544H;1
C;JDM092497N/JDM;MIU MIU WIFI 15 EUROS 9 MOD;12042674N;1
C;JDM092497N/JDM;MIU MIU WIFI 15 EUROS 9 MOD;12042674N;1
C;JDM092497O/JDM;MIU MIU WIFI LCV;12042674O;1
C;JDM092497O/JDM;MIU MIU WIFI LCV;12042674O;1
C;JDM092507G/JDM;MON EXCLUSIF SCHEMA 1  6 WIFI 15 EUROS;12042545G;1
C;JDM092507G/JDM;MON EXCLUSIF SCHEMA 1  6 WIFI 15 EUROS;12042545G;1
C;JDM092507H/JDM;MON EXCLUSIF SCHEMA 1  WIFI 8 EUROS;12042545H;1
C;JDM092507H/JDM;MON EXCLUSIF SCHEMA 1  WIFI 8 EUROS;12042545H;1
C;JDM092508BP/JDM;SAUVAGE WIFI PREMIUM 25 EUROS - 15%PV;12042542BP;1
C;JDM092508S/JDM;SAUVAGE DIOR WIFI 15 EUROS 16 - 15%PP;12042542S;1
C;JDM092508S/JDM;SAUVAGE DIOR WIFI 15 EUROS 16 - 15%PP;12042542S;1
C;JDM092508T/JDM;SAUVAGE DIOR WIFI 8 EUROS  - 15%PP;12042542T;1
C;JDM092508T/JDM;SAUVAGE DIOR WIFI 8 EUROS  - 15%PP;12042542T;1
C;JDM110822K/JDM;EXTATIC SCHEMA 1 LCV ANTIAGEING PREMIUM GOLD;12041752K;1
C;JDM162960F/JDM;L'HOMME EN NOIR TBR;12054245F;1
C;JDM162960G/JDM;L'HOMME EN NOIR TURKEY;12054245G;1
C;JDM163083B/JDM;HEADSPACE CHOCOLAT BLOND;12062752B;1
C;JDM163553I/JDM;MISS DIOR BB GRAPEFRUIT SOLAIRE 50S. OF PINK;12052580I;1
C;JDM181331B/JDM;FLOWERBOMB BLACK OPIUM LEGENDA;12051238B;1
C;JDM183220M/JDM;MADELEINE CHOCOLAT;12060900M;1
C;JDM183226B/JDM;CANNELE BORDELAIS;12052540B;1
C;JDM231297G/JDM;INVICTUS 15%PP SCHEMA 1;12060636G;1
C;JDM231297U/JDM;INVICTUS LAPIDUS;12060636U;1
C;JDM231335K/JDM;BONBON TYPE TURKEY 3 - 18%PP;12060722K;1
C;JDM231335K/JDM;BONBON TYPE TURKEY 3 - 18%PP;12060722K;1
C;JDM231370F/JDM;MURE GELEE;12060984F;1
C;JDM231375Y/JDM;FRAMBOISE;12061247Y;1
C;JDM231617S/JDM;POMME BASE 69 LENHART;12060579S;1
C;JDM231617X/JDM;POMME HYPO LENHART;12060579X;1
C;JDM231633K/JDM;BOIS D'ENCENS INGREDIENT FACTORY - 12%PP;12062047K;1
C;JDM231635AQ/JDM;EAU D'AMBROX PROACTIVE L'OREAL - 12%PP;12060642AQ;1
C;JDM231704L/JDM;FIGUE VERTE;12061516L;1
C;JDM231704M/JDM;FIGUE CHAIRE;12061516M;1
C;JDM231777E/JDM;CYPRES ETERNEL KAYA  BROOKE SAMPLE;12061008E;1
C;JDM231878G/JDM;ACCORD TARTELETTE;12060597G;1
C;JDM231878K/JDM;APPLE PIE;12060597K;1
C;JDM231878Q/JDM;TARTELETTE FRAISE;12060597Q;1
C;JDM231900E/JDM;THE PECHE;12061393E;1
C;JDM231904C/JDM;GIORGIO KAYA MARIPOLE BEACH WALK;12061028C;1
C;JDM231958G/JDM;DIOR HOMME SCHEMA 1;12061476G;1
C;JDM232113D/JDM;MELON;12060189D;1
C;JDM232133M/JDM;INFUSION D'IRIS ET ROSE KORRES;12061593M;1
C;JDM232192C/JDM;D&G FEMME COCO MLLE LEGENDA;12061260C;1
C;JDM232193Q/JDM;LOVE CHLOE DAIM LCV LENHART;12060804Q;1
C;JDM232265I/JDM;BODY KOUROS PUMA;12061226I;1
C;JDM232278AG/JDM;EAU D'ORANGE MONSIEUR LI LASCAD;12061479AG;1
C;JDM232305S/JDM;FENUGREC VETIVER & IMMORTELLE 12 - 12%PP;12062029S;1
C;JDM232306F/JDM;MANIFESTO SCHEMA  LEGENDA;12060645F;1
C;JDM232454X/JDM;HUGO GRAPHIC BLACK MICHALSKY GUILTY;12060944X;1
C;JDM232511E/JDM;ACQUA DI GIOIA ESSENZA SCHEMA 1;12061070E;1
C;JDM232511U/JDM;ACQUA DI GIOIA L'ETOILE RUSSIE;12061070U;1
C;JDM232851E/JDM;SI SCHEMA LEGENDA;12061018E;1
C;JDM232851G/JDM;SI MACARON CASSIS LEGENDA;12061018G;1
C;JDM232972V/JDM;EAU DE COCO PROACTIVE L'OREAL - 12%PP;12060716V;1
C;JDM232994A/JDM;BANG BANG TYPE 1;12061693A;1
C;JDM232994D/JDM;BANG BANG SCHEMA TURKEY;12061693D;1
C;JDM233078I/JDM;MAGNOLIA JAHWA;12060877I;1
C;JDM233078L/JDM;MAGNOLIA BLANC;12060877L;1
C;JDM233079AH/JDM;EAU DES MERVEILLES TURKEY 4 - 18%PP;12060936AH;1
C;JDM233079AH/JDM;EAU DES MERVEILLES TURKEY 4 - 18%PP;12060936AH;1
C;JDM233079E/JDM;EAU MERVEILLES  LCV ANTIAGEING PREMIUM GOLD;12060936E;1
C;JDM233308H/JDM;DAISY SCHEMA LCV L'ETOILE RUSSIE;12060882H;1
C;JDM233340AG/JDM;SPICEBOMB ROSE KORRES;12061123AG;1
C;JDM233432D/JDM;JOUR D'HERMES ABSOLU DAIM LEGENDA;12060650D;1
C;JDM233502G/JDM;ACTIVESPORT EDT SLAZENGER TYPE 1;12061463G;1
C;JDM233502M/JDM;ACTIVESPORT EDT SLAZENGER TYPE 1;12061463M;1
C;JDM233560I/JDM;LIGHT BLUE APPLE PIE LEGENDA;12061138I;1
C;JDM233569C/JDM;CAMOMILLE & LAIT DE TONKA PROACTIVE L'OREAL;12062781C;1
C;JDM233570C/JDM;TARTE RHUBARBE;12062748C;1
C;JDM233615P/JDM;ENCENS SATIN ARMANI SCHEMA 1  7;12061704P;1
C;JDM233615P/JDM;ENCENS SATIN ARMANI SCHEMA 1  7;12061704P;1
C;JDM233744J/JDM;HYPNOTIC POISON FIGUE 50SH OF PINK;12062297J;1
C;JDM233745C/JDM;MALABAR AMBROXAN 50 SHADES OF PINK;12061835C;1
C;JDM233768E/JDM;CREME DE MARRON;12062745E;1
C;JDM233816A/JDM;MACARON;12062737A;1
C;JDM233830C/JDM;SONIA RYKIEL LE PARFUM SCHEMA LCV;12061109C;1
C;JDM233858E/JDM;VIG L'EAU EN ROSE SCHEMA 1;12060679E;1
C;JDM234021B/JDM;LOLITA LEMPICKA  MEN PUMA;12060842B;1
C;JDM234143C/JDM;GUCCI HOMME II TURKEY;12061757C;1
C;JDM234186/JDM;FRUCTI NUTRI REPAIR 3 OILS TYPE 1;12062735;1
C;JDM234227A/JDM;REM TYPE 1;12060990A;1
C;JDM234242B/JDM;EAU DUELLE LEGENDA  - 12%PP;12061641B;1
C;JDM234562B/JDM;TARTELETTE ABRICOT AMANDE;12062741B;1
C;JDM234563B/JDM;MACARON FRAMBOISE;12061256B;1
C;JDM235334B/JDM;TOM FORD NOIR SCHEMA 1;12062301B;1
C;JJJ019883CC/JJJ;T INFUSION D''IRIS FRAIS LIGHT BLUE;12051075CC;1
C;JJJ019883CS/JJJ;INFUSION D''IRIS FRAIS 12E;12051075CS;1
C;JJJ019883EH/JJJ;220EG OK;12051075EH;1
C;JJJ021588AQ/JJJ;H&S EAU DE GIV POUR P&G VIET NAM;12057175AQ;1
C;JJJ021589AF/JJJ;302U/ IFRA 3%;12055946AF;1
C;JJJ021589AL/JJJ;TENDRE PARISIENNE;12055946AL;1
C;JJJ021779BS/JJJ;ROSE THE ONE PANTENE / IFRA3%;12038987BS;1
C;JJJ021780D/JJJ;LOLA SHAMPOO DELICIEOUS;12057551D;1
C;JJJ021937BH/JJJ;BAD OEILLET - AR ICC;12050501BH;1
C;JJJ023052P/JJJ;MYRTILLE PCMF HYPO;12056877P;1
C;JJJ027480BJ/JJJ;FRAMBOISE HYPO BUBCHEN;12055792BJ;1
C;JJJ027480CF/JJJ;YAOURT FRAMBOISE 4.5E;12055792CF;1
C;JJJ027480DA/JJJ;VIVA LA FRAMBOISE DIOR HOMME;12055792DA;1
C;JJJ027481X/JJJ;ADAPT AROME CASSIS;12058485X;1
C;JJJ027482BS/JJJ;USHUAIA MANGUE POUR AROME MANGUE;12053707BS;1
C;JJJ028126MC/JJJ;VIVA GLAM 90 OK SAFE = PUNK FLOWER;12046596MC;1
C;JJJ028126NK/JJJ;FRANGIPANI PEAU QUI CHAUFFE;12046596NK;1
C;JJJ028128H/JJJ;CT LOVERDOSE 9EUROS;12055829H;1
C;JJJ028128O/JJJ;CT LOVERDOSE NINA;12055829O;1
C;JJJ029495B/JJJ;WHITE MUSK DIOR HOMME;12056894B;1
C;JJJ031534AR/JJJ;REINE DE LA NUIT 8;12047578AR;1
C;JJJ031534BK/JJJ;CODE FLEUR D'ORANGER OUD;12047578BK;1
C;JJJ031534F/JJJ;CODE FLEUR D'ORANGER OUD BOUGIE;12047578F;1
C;JJJ031535D/JJJ;SPICE BOMB  9EUROS;12056731D;1
C;JJJ031535I/JJJ;SPICE BOMB 15 EUROS;12056731I;1
C;JJJ031572/JJJ;EAU D4ISSEY SPORT;12057079;1
C;JJJ032940H/JJJ;CHANCE EAU TENDRE FLORAL + DAISY BIG;12050252H;1
C;JJJ033713CQ/JJJ;POUDRE D'EMERAUD ORANGE;12049145CQ;1
C;JJJ033713J/JJJ;POUDRE DE RIZ;12049145J;1
C;JJJ033713W/JJJ;TOBIRA PITOSPORUM SUR POUDRE LAIT;12049145W;1
C;JJJ033745L/JJJ;T FLOWER IN THE AIR OSMANTHUS SOLAIRE 15E;12057636L;1
C;JJJ033745M/JJJ;T FLOWER IN THE AIR OSMANTHUS SOLAIRE 8E;12057636M;1
C;JJJ033746AP/JJJ;CIPY CRME KORRES;12039640AP;1
C;JJJ034723X/JJJ;ACCORD AIR;12048213X;1
C;JJJ034723X/JJJ;ACCORD AIR;12048213X;1
C;JJJ034724BY/JJJ;CUBA LIBRE 15 EUROS CATWALK;12047957BY;1
C;JJJ034724BZ/JJJ;CUBA LIBRE 8 EUROS CATWALK;12047957BZ;1
C;JJJ085834AK/JJJ;POMME D'AMOUR UDV 10%PV;12037531AK;1
C;JJJ085836KE/JJJ;CT FIERCE ABERCOMBIE ORANGE SANTAL COUMARINE;12047797KE;1
C;JJJ086931AE/JJJ;VANILLE SALEE;12054682AE;1
C;JJJ086932U/JJJ;ESCALE À PONDICH ANGE SECRET;12055818U;1
C;JJJ089217CG/JJJ;HUGO RED CHER;12040037CG;1
C;JJJ089217M/JJJ;HUGO RED BOOST;12040037M;1
C;JJJ090240K/JJJ;ARMANI SI  MOINS CHYPRE MOINS CASSIS;12040836K;1
C;JJJ090240O/JJJ;ARMANI SI 7 EUROS ICC;12040836O;1
C;JJJ090276EK/JJJ;ROSE LOUKOUM 2012 15 EUROS;12055837EK;1
C;JJJ090276EL/JJJ;ROSE LOUKOUM 2012 8 EUROS;12055837EL;1
C;JJJ090879AD/JJJ;MADLY MEAN;12041463AD;1
C;JJJ090879S/JJJ;MADLY MEAN;12041463S;1
C;JJJ090879W/JJJ;MADLY MEAN;12041463W;1
C;JJJ091161GH/JJJ;TWEET KENZO;12046529GH;1
C;JJJ091161L/JJJ;TOM 2012 LACTE PUIG;12046529L;1
C;JJJ091684B/JJJ;LOVE STORY WIFI 8 EUROS;12042445B;1
C;JJJ091797AJ/JJJ;JJKF-045G MOD ICC;12054182AJ;1
C;JJJ092045H/JJJ;T BLACK OPIUM;12041961H;1
C;JJJ105674GH/JJJ;ARMANI CODE BOSS BOTTLE HENKEL DO ++;12047098GH;1
C;JJJ106936A/JJJ;STAR  JASMIN INCANTO BLOOM;12052906A;1
C;JJJ107693DE/JJJ;T VIVA LA JUICY FRAIS AMOR 6E;12041843DE;1
C;JJJ108217I/JJJ;VIP COUSCOUS;12056282I;1
C;JJJ108486CR/JJJ;BOSS 3ALL  4EUROS AUTOMATE;12040088CR;1
C;JJJ108486CU/JJJ;BOSS BOTTLE OF VODKA LB;12040088CU;1
C;JJJ108486ED/JJJ;BOSS 3ALL  4EUROS OK ORIFLAME;12040088ED;1
C;JJJ108592D/JJJ;FAHRENHEIT TERRE À 7EU;12043379D;1
C;JJJ108592E/JJJ;FAHRENHEIT À 7EU AUTOMATE;12043379E;1
C;JJJ108937D/JJJ;ONKENZ001AB;12040710D;1
C;JJJ112343A/JJJ;CANDY PRADA DOUCHE;12053777A;1
C;JJJ112343AB/JJJ;CANDY PRADA UDV 10%  7 EUROS;12053777AB;1
C;JJJ112343X/JJJ;CANDY PRADA UDV 10%  7 EUROS;12053777X;1
C;JJJ132241LC/JJJ;DANDY WOOD 15EUROS 2013 *******;12050566LC;1
C;JJJ132241LD/JJJ;DANDY WOOD 8EUROS 2013 *******;12050566LD;1
C;JJJ143233BV/JJJ;TYPE AQDW POUR J&J 26 FREE;12057567BV;1
C;JJJ143485BM/JJJ;PARTOUZE PARFUM ORGIE;12059049BM;1
C;JJJ143485BP/JJJ;PARTOUZE PARFUM ORGIE;12059049BP;1
C;JJJ148184A/JJJ;LA VIE EST BELLE 15EUROS CATWALK;12053068A;1
C;JJJ150845DE/JJJ;RALPH FEAU DE FLEUR DE PRUNIER;12058122DE;1
C;JJJ159147M/JJJ;T BELLE D'OPIUM TWISTE ORIE114;12057094M;1
C;JJJ160370AJ/JJJ;GOLDWOOD GIRO;12055824AJ;1
C;JJJ160370PM/JJJ;TUXEDO 250 11 EUROS;12055824PM;1
C;JJJ160805AX/JJJ;LAVANDAMIEL NEFERTITY;12055814AX;1
C;JJJ161472AF/JJJ;CASH CASHMERAN ******* POUR TABOO;12057395AF;1
C;JJJ161637BX/JJJ;CHERRY LONDON ACCORD;12053064BX;1
C;JJJ161637EM/JJJ;CHERRY EAU;12053064EM;1
C;JJJ161663I/JJJ;HEADSPACE FRANGIPANIER + TIARE MONOI;12056086I;1
C;JJJ161722D/JJJ;FARINE CEDRE POUR KALINA;12054699D;1
C;JJJ161890BN/JJJ;CHAMALOW FREESIA KENZOKI;12048082BN;1
C;JJJ161930S/JJJ;T INSOLENCE 7E;12053675S;1
C;JJJ161930Z/JJJ;T INSOLENCE 7E;12053675Z;1
C;JJJ161932O/JJJ;NAGOYA SALON SUR LE NIL;12053512O;1
C;JJJ161936CH/JJJ;SECONDE PEAU;12048079CH;1
C;JJJ161937CO/JJJ;PARFUM BOULE;12048081CO;1
